HSIbyAuth,Dan_Cohan,Sally_Gall,Goodwin_MX,Goodwin_AZ,Roy_Tomlinson,Dave_Ellis,Literature_AZ,Literature_MX
3.160262e-01,1.073887e-01,1.026571e-01,1.018771e-01,1.160102e-01,6.380049e-03,1.786354e-02,2.434484e-01,1.859579e-01
3.300310e-01,1.014523e-01,1.005119e-01,1.033711e-01,1.555923e-01,5.399290e-03,2.259248e-02,2.432586e-01,1.857681e-01
4.716468e-01,1.040041e-01,1.032767e-01,2.768426e-01,1.885522e-01,4.923415e-03,2.499561e-02,4.113753e-01,3.538619e-01
5.048442e-01,8.737265e-02,7.679716e-02,1.040455e-01,3.793981e-01,5.453080e-03,2.216779e-02,2.874052e-01,2.298521e-01
3.844550e-01,7.915910e-02,6.943325e-02,1.229316e-01,3.360465e-01,6.575033e-03,1.275009e-02,2.889908e-01,2.313981e-01
4.945786e-01,8.485893e-02,1.253276e-01,1.632247e-01,3.766558e-01,8.257216e-03,4.134748e-03,3.423059e-01,3.166360e-01
5.271093e-01,9.264887e-02,1.417047e-01,1.756414e-01,4.701754e-01,1.041009e-02,1.994511e-03,3.578820e-01,3.228108e-01
5.405895e-01,1.035152e-01,1.553726e-01,1.764261e-01,4.695427e-01,1.287824e-02,3.397252e-03,3.400779e-01,2.823311e-01
6.866964e-01,1.186995e-01,1.732073e-01,2.749546e-01,5.671425e-01,1.523150e-02,5.098397e-03,3.901975e-01,3.483198e-01
6.859280e-01,1.731723e-01,2.354760e-01,4.295362e-01,4.787151e-01,1.686042e-02,4.764250e-03,4.166514e-01,4.019733e-01
6.832581e-01,2.614450e-01,3.309328e-01,5.531439e-01,4.274634e-01,1.855983e-02,9.607944e-03,4.278838e-01,4.189183e-01
6.698624e-01,3.143828e-01,3.858435e-01,4.472390e-01,3.997223e-01,2.048766e-02,1.231237e-02,4.265178e-01,4.249532e-01
5.440792e-01,1.707291e-01,2.368311e-01,2.863612e-01,4.345718e-01,2.289600e-02,8.343244e-03,3.913688e-01,3.505514e-01
5.426152e-01,3.134966e-01,3.649556e-01,1.993215e-01,4.905263e-01,2.631786e-02,5.985894e-03,3.799064e-01,3.220263e-01
6.710901e-01,3.091270e-01,3.197658e-01,1.796318e-01,5.028244e-01,3.097725e-02,5.352459e-03,3.901868e-01,3.322478e-01
6.750603e-01,2.844938e-01,2.786664e-01,1.779846e-01,4.902703e-01,3.686794e-02,5.476162e-03,3.957859e-01,3.378000e-01
6.709530e-01,2.094298e-01,2.064964e-01,1.778208e-01,4.719509e-01,4.301418e-02,4.346784e-03,3.825664e-01,3.245530e-01
6.643069e-01,1.979284e-01,1.982007e-01,1.776823e-01,4.425995e-01,4.754686e-02,2.039809e-03,3.526050e-01,2.945733e-01
5.869191e-01,1.849817e-01,1.882717e-01,1.774199e-01,4.170854e-01,5.112385e-02,9.397199e-04,3.100212e-01,2.519730e-01
5.829172e-01,1.649943e-01,1.707275e-01,1.769848e-01,4.087006e-01,5.433022e-02,3.257482e-04,2.747917e-01,2.167328e-01
5.787407e-01,1.463183e-01,1.516866e-01,1.764541e-01,4.549781e-01,5.750205e-02,6.858678e-05,2.429717e-01,1.849217e-01
5.683754e-01,1.515762e-01,2.031682e-01,1.759950e-01,4.502879e-01,6.061713e-02,1.188687e-05,2.175495e-01,1.595256e-01
4.499253e-01,1.865862e-01,2.075901e-01,1.757193e-01,5.017740e-01,6.479094e-02,4.997873e-06,2.020822e-01,1.440882e-01
4.600493e-01,2.547731e-01,6.211456e-02,1.756029e-01,5.291403e-01,4.894604e-02,1.186294e-05,2.187628e-01,1.607859e-01
4.786491e-01,2.907861e-01,4.388195e-02,1.755845e-01,5.254756e-01,4.079560e-02,7.769779e-05,2.427543e-01,1.847708e-01
4.980657e-01,3.290726e-01,1.004347e-01,1.759627e-01,5.210831e-01,4.315657e-02,6.313467e-04,2.498966e-01,1.919040e-01
5.160973e-01,3.400711e-01,1.587413e-01,1.802950e-01,5.233659e-01,4.582659e-02,3.800079e-03,2.487468e-01,1.907598e-01
5.299359e-01,3.942380e-01,2.131409e-01,2.059037e-01,5.267494e-01,4.636751e-02,1.415108e-02,2.467708e-01,1.887937e-01
5.384621e-01,4.725504e-01,2.351399e-01,2.792255e-01,5.313196e-01,4.657015e-02,3.317539e-02,2.683150e-01,2.103366e-01
6.841097e-01,5.289296e-01,2.686761e-01,3.911129e-01,5.396155e-01,4.840220e-02,5.341256e-02,3.981014e-01,3.400948e-01
6.814601e-01,5.178142e-01,2.683800e-01,4.583987e-01,4.879045e-01,9.250240e-02,6.395318e-02,4.108339e-01,3.527613e-01
6.687198e-01,4.729022e-01,2.875538e-01,1.766184e-01,3.703668e-01,9.231790e-02,5.833072e-02,2.444799e-01,1.863027e-01
6.468548e-01,4.909830e-01,2.474719e-01,1.836258e-01,3.456129e-01,5.291840e-02,3.830320e-02,2.448615e-01,1.865617e-01
